code_insee;val_ind;conc_pm10;conc_pm25;conc_no2;conc_so2;conc_o3;poll_resp;date_run;date_ech
41173;4;17.9;9.1;20.2;0.2;149.3;o3;14/06/2023;16/06/2023
28330;4;19.7;9.9;21.2;0.2;149.3;o3;14/06/2023;16/06/2023
28406;4;21.3;10.8;22.1;0.3;155.6;o3;14/06/2023;16/06/2023
28199;4;20.8;10.7;23.2;0.2;156.7;o3;14/06/2023;16/06/2023
28383;4;21.8;11.2;22.9;0.4;157.9;o3;14/06/2023;16/06/2023
28422;4;21.7;11;22.6;0.4;156.1;o3;14/06/2023;16/06/2023
28236;4;20.9;10.5;20.8;0.2;151.2;o3;14/06/2023;16/06/2023
45191;4;20;10.6;22.4;0.5;159.8;o3;14/06/2023;16/06/2023
41059;4;14.9;8.4;16.7;0.1;152.8;o3;14/06/2023;16/06/2023
41142;4;16.2;9;19.7;0.1;154.4;o3;14/06/2023;16/06/2023
41171;4;17.5;9;18.7;0.1;149.2;o3;14/06/2023;16/06/2023
37232;4;17.7;10.1;17.5;0.1;150.8;o3;14/06/2023;16/06/2023
28103;4;18.8;9.7;21;0.2;150.7;o3;14/06/2023;16/06/2023
36093;4;16.4;9.6;15.8;0.1;150.7;o3;14/06/2023;16/06/2023
36202;4;18;11.1;20.7;0.3;150.8;o3;14/06/2023;16/06/2023
36244;4;14.7;8.3;16.5;0.1;149.5;o3;14/06/2023;16/06/2023
41167;4;16.1;8.9;17.7;0.1;152.7;o3;14/06/2023;16/06/2023
37021;4;17.7;9.7;18.5;0.1;151.5;o3;14/06/2023;16/06/2023
41248;4;18.8;9.7;19.7;0.1;150.9;o3;14/06/2023;16/06/2023
37254;4;16.1;9.3;16.9;0.1;149.6;o3;14/06/2023;16/06/2023
45051;4;16.9;8.2;20;0.2;145.6;o3;14/06/2023;16/06/2023
41055;4;16.2;9;18.1;0.1;154.4;o3;14/06/2023;16/06/2023
41070;4;16.2;9;18.1;0.1;150.6;o3;14/06/2023;16/06/2023
18023;4;14.2;7.6;14.5;0.3;138.8;o3;14/06/2023;16/06/2023
18073;4;12.6;7.5;13.1;0.2;137;o3;14/06/2023;16/06/2023
28185;4;22.8;11.8;26.5;0.5;155.2;o3;14/06/2023;16/06/2023
28183;4;21.6;11.5;23.6;0.5;157.2;o3;14/06/2023;16/06/2023
28018;4;20.3;10.3;21;0.2;152.6;o3;14/06/2023;16/06/2023
28254;4;22.4;11.3;23.6;0.3;154.7;o3;14/06/2023;16/06/2023
36229;4;15.5;8.5;16.4;0.1;150.2;o3;14/06/2023;16/06/2023
37123;4;18.1;10.2;17.9;0.1;153.1;o3;14/06/2023;16/06/2023
41151;4;15.1;8.6;16.6;0.1;149.9;o3;14/06/2023;16/06/2023
45129;4;17.2;7.5;20.1;0.2;147.1;o3;14/06/2023;16/06/2023
45307;4;18.1;7.5;19.8;0.1;147;o3;14/06/2023;16/06/2023
18054;4;15.4;9.2;17;0.1;146.5;o3;15/06/2023;15/06/2023
41146;4;15.6;9.5;17.1;0.2;146.9;o3;15/06/2023;15/06/2023
36061;4;14.5;8.9;16.4;0.1;139;o3;15/06/2023;15/06/2023
18117;4;15.9;8.5;17.5;0.2;147.4;o3;15/06/2023;15/06/2023
37084;4;18.6;10.7;16.4;0.4;146.7;o3;15/06/2023;15/06/2023
18096;4;16.6;10.1;20.7;0.1;148.8;o3;15/06/2023;15/06/2023
36114;4;16;9.4;16.5;0.1;149.1;o3;15/06/2023;15/06/2023
36197;4;16.2;9.5;16.6;0.1;148.6;o3;15/06/2023;15/06/2023
36058;4;16.2;9.5;17.6;0.1;149.1;o3;15/06/2023;15/06/2023
28386;4;22.2;12.3;18.9;0.4;173.9;o3;15/06/2023;15/06/2023
37170;4;18.3;10.4;17.4;0.3;146.8;o3;15/06/2023;15/06/2023
41273;4;17.5;10;17.8;0.2;152.4;o3;15/06/2023;15/06/2023
